meddra_pt,prior
Thyroid disorder,0.400901
Non-cardiac chest pain,0.400901
Hydronephrosis,0.400901
Acute hepatic failure,0.400901
Mouth haemorrhage,0.400901
Muscle mass,0.400901
Spinal compression fracture,0.400901
Aplasia pure red cell,0.400901
Prothrombin level decreased,0.400901
Erythema of eyelid,0.400901
Haemorrhagic stroke,0.400901
Hyperadrenocorticism,0.400901
Electrocardiogram T wave inversion,0.400901
International normalised ratio increased,0.400901
Injection site irritation,0.400901
Hepatic cirrhosis,0.400901
Sinus arrhythmia,0.400901
Type IV hypersensitivity reaction,0.394037
Somnambulism,0.394037
Bradykinesia,0.394037
Papule,0.394037
Peripheral motor neuropathy,0.394037
Ejection fraction decreased,0.394037
Dyslipidaemia,0.394037
Fat redistribution,0.394037
Teratogenicity,0.394037
Muscle contracture,0.394037
Blood thyroid stimulating hormone increased,0.394037
Eosinophilic pneumonia,0.394037
Hypogeusia,0.394037
Oesophageal candidiasis,0.394037
Ejaculation delayed,0.394037
Glomerulonephritis,0.394037
Appendicitis,0.394037
Onychomycosis,0.394037
Xanthopsia,0.394037
Drooling,0.394037
Cholangitis,0.394037
Scrotal oedema,0.386801
Choking,0.386801
Electrocardiogram QRS complex,0.386801
Hepatitis C,0.386801
Wound infection,0.386801
"Hallucination, auditory",0.386801
Dyspareunia,0.386801
Testicular swelling,0.386801
Mass,0.386801
Lung infection,0.386801
Meningism,0.386801
Oesophageal stenosis,0.386801
Dystonia,0.386801
Alcohol abuse,0.386801
Infusion site reaction,0.386801
Acute myeloid leukaemia,0.386801
Gastrointestinal toxicity,0.386801
Hepatitis toxic,0.386801
Drug reaction with eosinophilia and systemic symptoms,0.386801
Road traffic accident,0.386801
Bronchospasm paradoxical,0.386801
Tooth discolouration,0.386801
Acquired immunodeficiency syndrome,0.386801
Heat stroke,0.386801
Abnormal sensation in eye,0.386801
Illusion,0.386801
Protrusion tongue,0.386801
Megacolon,0.386801
Abortion spontaneous,0.386801
Hypohidrosis,0.386801
Arteriosclerosis,0.386801
Lipoatrophy,0.386801
Oesophagitis ulcerative,0.386801
Balanitis,0.379152
Peyronie's disease,0.379152
Injection site haematoma,0.379152
Drug ineffective,0.379152
Respiratory disorder,0.379152
Cardiac flutter,0.379152
Urethral pain,0.379152
Respiration abnormal,0.379152
Breast discomfort,0.379152
Urine output,0.379152
Tachyarrhythmia,0.379152
Temperature intolerance,0.379152
Asphyxia,0.379152
Osteomalacia,0.379152
Lichen planus,0.379152
Idiopathic thrombocytopenic purpura,0.379152
Death,0.379152
Onycholysis,0.379152
Pseudolymphoma,0.379152
Immunodeficiency,0.379152
Schizophrenia,0.379152
Alkalosis hypokalaemic,0.379152
Increased insulin requirement,0.379152
Affective disorder,0.379152
Cardiac output decreased,0.379152
Benign prostatic hyperplasia,0.379152
Feeling drunk,0.379152
Asthenopia,0.379152
Renal colic,0.379152
Labyrinthitis,0.379152
Wound,0.379152
Monocytosis,0.379152
Activated partial thromboplastin time prolonged,0.379152
Blood testosterone decreased,0.379152
IIIrd nerve paralysis,0.379152
Unintended pregnancy,0.379152
Renal tubular disorder,0.379152
Drug tolerance,0.379152
Faeces discoloured,0.379152
Facial pain,0.379152
Injection site pruritus,0.371039
Bipolar I disorder,0.371039
Endometriosis,0.371039
Hepatic neoplasm,0.371039
Bronchopneumonia,0.371039
Rhonchi,0.371039
Hydrocephalus,0.371039
Ureteric obstruction,0.371039
Crohn's disease,0.371039
Blindness transient,0.371039
Oedema mouth,0.371039
Dermatitis psoriasiform,0.371039
Scleritis,0.371039
Encephalitis,0.371039
Haemorrhoidal haemorrhage,0.371039
Injection site induration,0.371039
Insulin resistance,0.371039
Venoocclusive liver disease,0.371039
Pemphigoid,0.371039
Type I hypersensitivity,0.371039
Psychomotor retardation,0.371039
Optic nerve disorder,0.371039
Keratopathy,0.371039
Nail discolouration,0.371039
Peliosis hepatis,0.371039
Bladder spasm,0.371039
Hepatic encephalopathy,0.371039
Conjunctivitis allergic,0.371039
Hair growth abnormal,0.371039
Cushingoid,0.371039
Sedation,0.371039
Disability,0.371039
Blood phosphorus decreased,0.371039
Blood urine,0.371039
Ophthalmoplegia,0.371039
Urogenital disorder,0.371039
Thyroiditis,0.371039
Progressive multifocal leukoencephalopathy,0.371039
Anxiety disorder,0.371039
Subileus,0.371039
Wound secretion,0.362402
Stillbirth,0.362402
Ear discomfort,0.362402
Bipolar disorder,0.362402
Hordeolum,0.362402
Motion sickness,0.362402
Ovarian disorder,0.362402
Viral upper respiratory tract infection,0.362402
Initial insomnia,0.362402
Lip dry,0.362402
Sensation of heaviness,0.362402
Endometrial hyperplasia,0.362402
Haemangioma,0.362402
Alkalosis,0.362402
Granulomatous liver disease,0.362402
White blood cell disorder,0.362402
Gastric haemorrhage,0.362402
Cardiac tamponade,0.362402
Oropharyngeal swelling,0.362402
Water intoxication,0.362402
Gastrointestinal infection,0.362402
Hypersexuality,0.362402
Brain injury,0.362402
Foreign body sensation in eyes,0.362402
Lymphadenitis,0.362402
Parkinson's disease,0.362402
Vital dye staining cornea present,0.362402
Varicella,0.362402
Left ventricular failure,0.362402
Refraction disorder,0.362402
X-linked lymphoproliferative syndrome,0.362402
Lymphoproliferative disorder,0.362402
Hypertrophic cardiomyopathy,0.362402
Scleroderma,0.362402
Vitreous detachment,0.362402
Gastrointestinal ulcer,0.362402
Hypogonadism,0.362402
Oligomenorrhoea,0.362402
Lichenoid keratosis,0.362402
Paronychia,0.362402
Hair texture abnormal,0.362402
Corneal disorder,0.362402
Creatinine renal clearance decreased,0.362402
Blindness cortical,0.362402
Aneurysm,0.362402
Dissociation,0.362402
Neutropenic colitis,0.362402
Fasting,0.362402
Benign neoplasm of skin,0.362402
Groin pain,0.362402
Procedural complication,0.353169
Inguinal hernia,0.353169
Testicular disorder,0.353169
Calcinosis,0.353169
Orgasm abnormal,0.353169
Tension headache,0.353169
Salpingitis,0.353169
Pharyngitis streptococcal,0.353169
Muscle strain,0.353169
Poor quality sleep,0.353169
Middle insomnia,0.353169
Tooth infection,0.353169
Hepatitis acute,0.353169
Bradyphrenia,0.353169
Odynophagia,0.353169
Motor dysfunction,0.353169
Oral discomfort,0.353169
Hepatosplenomegaly,0.353169
Ketosis,0.353169
Hypochloraemia,0.353169
Pneumocystis jirovecii pneumonia,0.353169
Myocardial rupture,0.353169
Dysthymic disorder,0.353169
Rash follicular,0.353169
Peroneal nerve palsy,0.353169
Aplasia,0.353169
Sluggishness,0.353169
Pathological gambling,0.353169
Virilism,0.353169
Macular degeneration,0.353169
Nodal arrhythmia,0.353169
Eyelid disorder,0.353169
Nasal septum perforation,0.353169
Blood sodium increased,0.353169
Purpura non-thrombocytopenic,0.353169
Fibroadenoma of breast,0.353169
Vitreous disorder,0.353169
Oxygen saturation decreased,0.353169
Corneal thinning,0.353169
Haemoglobin increased,0.353169
Periodontitis,0.353169
Lipoma,0.353169
Hiatus hernia,0.353169
Platelet disorder,0.353169
Exostosis,0.353169
Cardiovascular insufficiency,0.353169
Diabetic ketoacidosis,0.353169
Arteriospasm coronary,0.353169
Emphysema,0.353169
Red blood cell count decreased,0.353169
Optic ischaemic neuropathy,0.353169
Hyperpathia,0.343252
Vulvovaginal pain,0.343252
Carbon dioxide increased,0.343252
Hypercapnia,0.343252
Application site dryness,0.343252
Snoring,0.343252
Gastric pH decreased,0.343252
Derealisation,0.343252
Nipple pain,0.343252
Stress,0.343252
Coronary artery thrombosis,0.343252
Retinal vein occlusion,0.343252
Venoocclusive disease,0.343252
Cervix disorder,0.343252
Areflexia,0.343252
Malabsorption,0.343252
Gastrointestinal sounds abnormal,0.343252
Inflammatory bowel disease,0.343252
Hypermagnesaemia,0.343252
Hyperplasia,0.343252
Nephrogenic diabetes insipidus,0.343252
Alveolitis,0.343252
Hypercalciuria,0.343252
Toxic skin eruption,0.343252
Low density lipoprotein increased,0.343252
Retinal vein thrombosis,0.343252
Myoglobin urine present,0.343252
Myoglobinuria,0.343252
Drug-induced liver injury,0.343252
Psychiatric symptom,0.343252
Drug level increased,0.343252
Serum sickness-like reaction,0.343252
Lymphocyte count decreased,0.343252
Synovitis,0.343252
Prostatic specific antigen increased,0.343252
Polymyalgia rheumatica,0.343252
Foetal death,0.343252
Plasma cell myeloma,0.343252
Plasmacytoma,0.343252
Inner ear disorder,0.343252
Libido disorder,0.343252
Intestinal ulcer,0.343252
Glucose-6-phosphate dehydrogenase deficiency,0.343252
Vascular headache,0.343252
Left ventricular dysfunction,0.343252
Skin toxicity,0.343252
Head injury,0.343252
Drug withdrawal syndrome neonatal,0.343252
Corneal lesion,0.343252
Wound haemorrhage,0.343252
Neoplasm skin,0.33254
Respiratory rate decreased,0.33254
Injection site bruising,0.33254
Hunger,0.33254
Hypotrichosis,0.33254
Hyperchlorhydria,0.33254
Paraparesis,0.33254
Cranial nerve paralysis,0.33254
Ocular toxicity,0.33254
Paralysis flaccid,0.33254
Cystoid macular oedema,0.33254
Uterine spasm,0.33254
Administration site reaction,0.33254
Effusion,0.33254
Injection site infection,0.33254
Asterixis,0.33254
Tracheitis,0.33254
Steatorrhoea,0.33254
Muscle spasticity,0.33254
Myelitis transverse,0.33254
Precocious puberty,0.33254
Granuloma,0.33254
Gastrointestinal carcinoma,0.33254
Eyelids pruritus,0.33254
Anterograde amnesia,0.33254
Retroperitoneal fibrosis,0.33254
Thrombotic microangiopathy,0.33254
Haematocrit increased,0.33254
Myelitis,0.33254
Hepatitis viral,0.33254
Tongue coated,0.33254
Deafness neurosensory,0.33254
Chromatopsia,0.33254
Clonus,0.33254
Female sexual dysfunction,0.33254
Impetigo,0.33254
Acute psychosis,0.33254
Ectopic pregnancy,0.33254
Peritoneal haemorrhage,0.33254
Ovarian hyperstimulation syndrome,0.33254
Renal cyst,0.33254
Oesophageal spasm,0.33254
Upper gastrointestinal haemorrhage,0.33254
Fat embolism,0.33254
Blood pressure systolic increased,0.33254
Cycloplegia,0.33254
Electrocardiogram PR prolongation,0.33254
Fanconi syndrome,0.33254
Epidermal necrosis,0.33254
Decubitus ulcer,0.33254
Walking disability,0.33254
Fistula,0.33254
Infusion site erythema,0.33254
Caecitis,0.320896
Oedema genital,0.320896
Right ventricular failure,0.320896
Perineal pain,0.320896
Erection increased,0.320896
Clonic convulsion,0.320896
Localised infection,0.320896
Lacrimation decreased,0.320896
Dermal cyst,0.320896
Arthropod bite,0.320896
Breast swelling,0.320896
Breast mass,0.320896
Allergic oedema,0.320896
Gastrointestinal necrosis,0.320896
Ichthyosis acquired,0.320896
Ichthyosis,0.320896
Vitamin B12 deficiency,0.320896
Fibromyalgia,0.320896
Aortic valve stenosis,0.320896
Heart disease congenital,0.320896
Ventricular dysfunction,0.320896
Renal tubular acidosis,0.320896
Coma hepatic,0.320896
Acute febrile neutrophilic dermatosis,0.320896
Respiratory alkalosis,0.320896
Hyperchloraemia,0.320896
Infusion related reaction,0.320896
Osteonecrosis of jaw,0.320896
Pancreatitis haemorrhagic,0.320896
Feeling of body temperature change,0.320896
Panic disorder,0.320896
Disinhibition,0.320896
Homicidal ideation,0.320896
Bundle branch block left,0.320896
Thyroid neoplasm,0.320896
Orchitis,0.320896
Thyroid function test abnormal,0.320896
Enterocolitis haemorrhagic,0.320896
Eyelid ptosis,0.320896
Eyelid margin crusting,0.320896
Coronary artery occlusion,0.320896
Sick sinus syndrome,0.320896
White blood cells urine positive,0.320896
Ischaemic stroke,0.320896
Anaemia macrocytic,0.320896
Wound dehiscence,0.320896
Type 2 diabetes mellitus,0.320896
Impulse-control disorder,0.320896
Neutrophil count increased,0.320896
Application site vesicles,0.320896
Eye movement disorder,0.320896
Dermatomyositis,0.320896
Change of bowel habit,0.320896
Masked facies,0.320896
Cerebral thrombosis,0.320896
Drug intolerance,0.320896
Gastrointestinal candidiasis,0.320896
Phobia,0.320896
Electric shock,0.320896
Menometrorrhagia,0.320896
Orchitis noninfective,0.320896
Appetite disorder,0.320896
Tearfulness,0.320896
Obstruction,0.320896
Retinal degeneration,0.320896
Vitreous haemorrhage,0.320896
Melanocytic naevus,0.320896
Nail pigmentation,0.320896
Attention deficit/hyperactivity disorder,0.320896
Menstruation delayed,0.320896
Post procedural complication,0.320896
Alcoholism,0.320896
Coagulation time prolonged,0.320896
Bundle branch block right,0.320896
Prostatomegaly,0.320896
Fontanelle bulging,0.320896
Tumour pain,0.320896
Hyperparathyroidism,0.320896
Smear cervix abnormal,0.320896
Cytomegalovirus infection,0.320896
Faeces hard,0.320896
Seborrhoeic keratosis,0.320896
Parathyroid disorder,0.308141
Hemianopia,0.308141
Post procedural infection,0.308141
Joint dislocation,0.308141
Hypertrophy,0.308141
Vulvovaginal burning sensation,0.308141
Ventricular hypertrophy,0.308141
Phlebitis superficial,0.308141
Thermal burn,0.308141
Electrocardiogram ST segment,0.308141
Defaecation urgency,0.308141
Terminal insomnia,0.308141
Uterine cervical erosion,0.308141
Ectropion of cervix,0.308141
Retinal vascular thrombosis,0.308141
Leukoencephalopathy,0.308141
Necrotising colitis,0.308141
Pneumonia streptococcal,0.308141
Injection site dermatitis,0.308141
Respiratory paralysis,0.308141
Gastric disorder,0.308141
Blood insulin increased,0.308141
Nasal ulcer,0.308141
Injection site necrosis,0.308141
Haemoglobinuria,0.308141
Electrocardiogram U-wave abnormality,0.308141
Oesophageal achalasia,0.308141
Skin candida,0.308141
Heart sounds abnormal,0.308141
Palmar-plantar erythrodysaesthesia syndrome,0.308141
Diabetes insipidus,0.308141
Hypopnoea,0.308141
Bladder dysfunction,0.308141
Normochromic normocytic anaemia,0.308141
Injection site phlebitis,0.308141
"Hallucinations, mixed",0.308141
Blood pressure systolic decreased,0.308141
Blood pressure diastolic decreased,0.308141
Infertility male,0.308141
Blood electrolytes abnormal,0.308141
Hypopituitarism,0.308141
Haemorrhage urinary tract,0.308141
Overdose,0.308141
Pustular psoriasis,0.308141
Mitral valve incompetence,0.308141
Cervical dysplasia,0.308141
Hypoaesthesia eye,0.308141
Skin discomfort,0.308141
Cutaneous lupus erythematosus,0.308141
Dermatitis diaper,0.308141
Prothrombin time shortened,0.308141
Basophilia,0.308141
Adenoma benign,0.308141
Diverticulum,0.308141
Large intestine polyp,0.308141
Pregnancy test false positive,0.308141
Blood creatinine abnormal,0.308141
Colour blindness,0.308141
Skin haemorrhage,0.308141
Protein total decreased,0.308141
Lymphatic disorder,0.308141
Melanosis,0.308141
Anal fissure,0.308141
Obsessive-compulsive disorder,0.308141
Nodal rhythm,0.308141
Infection parasitic,0.308141
Apraxia,0.308141
Haemarthrosis,0.308141
Gastritis haemorrhagic,0.308141
Ketoacidosis,0.308141
Myasthenic syndrome,0.308141
Pericardial haemorrhage,0.308141
Retinal vascular disorder,0.308141
Skin depigmentation,0.308141
Eyelid irritation,0.308141
Acute pulmonary oedema,0.308141
Neutropenic infection,0.308141
Arteritis,0.308141
Serositis,0.308141
Calculus urinary,0.308141
Enlarged clitoris,0.308141
Central nervous system neoplasm,0.308141
Hypoglycaemic coma,0.308141
Skin fissures,0.308141
Compartment syndrome,0.308141
Pituitary tumour benign,0.308141
Pituitary haemorrhage,0.308141
Uterine disorder,0.308141
Adenocarcinoma,0.308141
Madarosis,0.308141
Injection site extravasation,0.308141
Spinal cord compression,0.308141
Gastric atony,0.294041
Skin tightness,0.294041
Accidental exposure to product,0.294041
Electrocardiogram ST segment elevation,0.294041
Microcephaly,0.294041
Pyoderma,0.294041
Dermatitis infected,0.294041
Obliterative bronchiolitis,0.294041
Gastrointestinal obstruction,0.294041
Gastrointestinal ulcer haemorrhage,0.294041
Tinea pedis,0.294041
Endometrial disorder,0.294041
Capillary leak syndrome,0.294041
Cauda equina syndrome,0.294041
Injection site urticaria,0.294041
Nephrocalcinosis,0.294041
Sjogren's syndrome,0.294041
Hepatic pain,0.294041
Nasal polyps,0.294041
Vascular anomaly,0.294041
Red blood cell abnormality,0.294041
Autoimmune haemolytic anaemia,0.294041
Graft versus host disease,0.294041
Congestive cardiomyopathy,0.294041
Cryptococcosis,0.294041
Retinitis,0.294041
Metastases to liver,0.294041
Hepatic cancer metastatic,0.294041
Hodgkin's disease lymphocyte predominance type stage unspecified,0.294041
Hodgkin's disease lymphocyte depletion type stage unspecified,0.294041
Hodgkin's disease,0.294041
Polyarteritis nodosa,0.294041
Dysphemia,0.294041
Steroid withdrawal syndrome,0.294041
Reticulocytosis,0.294041
Cholinergic syndrome,0.294041
Femur fracture,0.294041
Floppy iris syndrome,0.294041
Logorrhoea,0.294041
Onychoclasis,0.294041
Tumour flare,0.294041
Corneal infiltrates,0.294041
Ventricular septal defect,0.294041
Immune-mediated necrotising myopathy,0.294041
Coombs test positive,0.294041
Oropharyngeal candidiasis,0.294041
Vein disorder,0.294041
Binge eating,0.294041
Premature ejaculation,0.294041
Urine flow decreased,0.294041
Aphonia,0.294041
Application site oedema,0.294041
Patent ductus arteriosus,0.294041
Folate deficiency,0.294041
Ketonuria,0.294041
Bone density decreased,0.294041
Acute sinusitis,0.294041
Costochondritis,0.294041
Atrophic vulvovaginitis,0.294041
Respiratory acidosis,0.294041
Intentional self-injury,0.294041
Corneal epithelium defect,0.294041
Hyperphagia,0.294041
Tympanic membrane perforation,0.294041
Benign breast neoplasm,0.294041
Xeroderma,0.294041
Injection site abscess,0.294041
Corneal perforation,0.294041
Procedural haemorrhage,0.294041
Radiation pneumonitis,0.294041
Cancer pain,0.294041
Essential hypertension,0.294041
Retrograde ejaculation,0.294041
Enzyme abnormality,0.294041
Lip pain,0.294041
Androgenetic alopecia,0.294041
Gastric ulcer haemorrhage,0.294041
Diabetic retinopathy,0.294041
Balanoposthitis,0.294041
Arterial spasm,0.294041
Nasal oedema,0.294041
Hypovitaminosis,0.294041
Blood testosterone increased,0.294041
Orthopnoea,0.294041
Sudden cardiac death,0.294041
Retinal artery occlusion,0.294041
Injection site mass,0.294041
Pancreatitis necrotising,0.294041
Blood bicarbonate decreased,0.294041
Small intestinal obstruction,0.294041
Brain neoplasm,0.278279
Vulvitis,0.278279
Sinoatrial block,0.278279
Device capturing issue,0.278279
Limb discomfort,0.278279
Urethral haemorrhage,0.278279
Occult blood positive,0.278279
Food allergy,0.278279
Food poisoning,0.278279
Sinus disorder,0.278279
Vaginitis bacterial,0.278279
Energy increased,0.278279
Self-injurious ideation,0.278279
Hypertonic bladder,0.278279
Contact lens intolerance,0.278279
Pre-existing disease,0.278279
Pelvic venous thrombosis,0.278279
Generalised erythema,0.278279
Abnormal withdrawal bleeding,0.278279
Reflexes abnormal,0.278279
Liver tenderness,0.278279
Spinal cord injury,0.278279
Oesophageal pain,0.278279
Tourette's disorder,0.278279
Renal papillary necrosis,0.278279
Pseudoporphyria,0.278279
Myeloid leukaemia,0.278279
Lymphangitis,0.278279
Radiation injury,0.278279
Staphylococcal bacteraemia,0.278279
Transfusion reaction,0.278279
Catheter site haemorrhage,0.278279
Chapped lips,0.278279
Saliva altered,0.278279
Oesophageal disorder,0.278279
Intestinal ischaemia,0.278279
Atrial tachycardia,0.278279
Acute interstitial pneumonitis,0.278279
Idiopathic pulmonary fibrosis,0.278279
Chronic myeloid leukaemia,0.278279
Hip fracture,0.278279
Osteoporotic fracture,0.278279
Tendinous contracture,0.278279
Blood magnesium decreased,0.278279
Mucosal ulceration,0.278279
Pathogen resistance,0.278279
Neurogenic bladder,0.278279
Conjunctival disorder,0.278279
Raynaud's phenomenon,0.278279
Pharyngeal disorder,0.278279
C-reactive protein increased,0.278279
Anhidrosis,0.278279
Rhinalgia,0.278279
Congenital genitourinary abnormality,0.278279
Necrotising enterocolitis neonatal,0.278279
Application site paraesthesia,0.278279
Application site exfoliation,0.278279
Onychomadesis,0.278279
Coronary artery insufficiency,0.278279
Adverse reaction,0.278279
Renal artery stenosis,0.278279
Facial paresis,0.278279
Hepatitis chronic active,0.278279
Multiple sclerosis,0.278279
Maculopathy,0.278279
Petit mal epilepsy,0.278279
Urine odour abnormal,0.278279
Gastric polyps,0.278279
Vulvovaginal disorder,0.278279
Polyarthritis,0.278279
Sensation of pressure,0.278279
Ureteral spasm,0.278279
Gingival disorder,0.278279
Psychomotor skills impaired,0.278279
Immobile,0.278279
Adrenocortical insufficiency acute,0.278279
Compulsions,0.278279
Hepatorenal syndrome,0.278279
Scleral hyperaemia,0.278279
Large intestine perforation,0.278279
Light anaesthesia,0.278279
Intestinal infarction,0.278279
Peripheral embolism,0.278279
Lip ulceration,0.278279
Psychotic behaviour,0.278279
Hypomenorrhoea,0.278279
Asocial behaviour,0.278279
Antisocial personality disorder,0.278279
Antisocial behaviour,0.278279
Monoparesis,0.278279
Injection site thrombosis,0.278279
Tongue paralysis,0.278279
Pleural disorder,0.278279
Malignant hypertension,0.278279
Catheter site pain,0.278279
Injection site coldness,0.278279
Injection site hypersensitivity,0.278279
Hormone level abnormal,0.278279
Kaposi's sarcoma,0.278279
Prinzmetal angina,0.278279
Venous insufficiency,0.278279
Genital discharge,0.278279
Cervicitis,0.278279
Diabetic coma,0.278279
Diabetic hyperglycaemic coma,0.278279
Lobar pneumonia,0.278279
Fall,0.278279
Blood phosphorus increased,0.278279
Injection site discomfort,0.278279
Ocular icterus,0.278279
Nephrogenic systemic fibrosis,0.278279
Urosepsis,0.278279
Foetal distress syndrome,0.260409
Uterine rupture,0.260409
Collagen disorder,0.260409
Application site erosion,0.260409
Vasodilatation,0.260409
Jarisch-Herxheimer reaction,0.260409
Soft tissue injury,0.260409
Joint injury,0.260409
Limb injury,0.260409
Increased upper airway secretion,0.260409
Hereditary angioedema,0.260409
Vulval disorder,0.260409
Withdrawal bleed,0.260409
Vascular pain,0.260409
Weight fluctuation,0.260409
Medical device complication,0.260409
Spinal cord disorder,0.260409
Non-cardiogenic pulmonary oedema,0.260409
Endometrial hypertrophy,0.260409
Hyperammonaemia,0.260409
Meniere's disease,0.260409
Metabolic alkalosis,0.260409
Hyperinsulinism,0.260409
Xanthoma,0.260409
Acute yellow liver atrophy,0.260409
Hypoprothrombinaemia,0.260409
Factor II deficiency,0.260409
Infertility female,0.260409
Nephritic syndrome,0.260409
Skin fragility,0.260409
Acute lymphocytic leukaemia,0.260409
Tumour necrosis,0.260409
Electrocardiogram QRS complex abnormal,0.260409
General physical health deterioration,0.260409
Chorioretinopathy,0.260409
Hyperamylasaemia,0.260409
Xerosis,0.260409
Multiple pregnancy,0.260409
Choking sensation,0.260409
Elevated mood,0.260409
Organising pneumonia,0.260409
Peripheral sensorimotor neuropathy,0.260409
Conjunctival follicles,0.260409
Status asthmaticus,0.260409
Vitiligo,0.260409
Paranasal sinus hypersecretion,0.260409
Necrosis ischaemic,0.260409
Scleral thinning,0.260409
Pupils unequal,0.260409
Pleural fibrosis,0.260409
Sudden onset of sleep,0.260409
Blood cortisol decreased,0.260409
Dyschezia,0.260409
Procedural nausea,0.260409
Pelvic inflammatory disease,0.260409
Addison's disease,0.260409
Varices oesophageal,0.260409
Cheilosis,0.260409
Dysplasia,0.260409
Haematological malignancy,0.260409
Drug effect increased,0.260409
Infusion site phlebitis,0.260409
Application site warmth,0.260409
Microsomia,0.260409
Hypocholesterolaemia,0.260409
Oesophageal perforation,0.260409
Venous occlusion,0.260409
Parkinsonian rest tremor,0.260409
Ingrowing nail,0.260409
Oesophageal haemorrhage,0.260409
Mental disorder due to a general medical condition,0.260409
Deafness transitory,0.260409
Ileitis,0.260409
Radiculopathy,0.260409
Acute abdomen,0.260409
Anencephaly,0.260409
Talipes,0.260409
Trisomy 21,0.260409
Cleft palate,0.260409
Dermoid cyst,0.260409
Schizophreniform disorder,0.260409
Gastrointestinal inflammation,0.260409
Premature labour,0.260409
Myxoedema,0.260409
Gingival hypertrophy,0.260409
Microangiopathic haemolytic anaemia,0.260409
Subcutaneous abscess,0.260409
Anterior chamber inflammation,0.260409
Cardiac death,0.260409
Physical assault,0.260409
Erythropenia,0.260409
Orbital oedema,0.260409
Oedema mucosal,0.260409
Buccoglossal syndrome,0.260409
Abortion,0.260409
Metastasis,0.260409
Haematospermia,0.260409
Rhythm idioventricular,0.260409
Transplant rejection,0.260409
Retinal oedema,0.260409
Retrograde amnesia,0.260409
Administration site infection,0.260409
Halo vision,0.260409
Blood iron decreased,0.260409
Periarthritis,0.260409
Breath holding,0.260409
Iris hyperpigmentation,0.260409
Ophthalmic herpes simplex,0.260409
Hypouricaemia,0.260409
Pituitary infarction,0.260409
Joint effusion,0.260409
Duodenal ulcer perforation,0.260409
Muscle injury,0.260409
Pulse abnormal,0.260409
Mean arterial pressure,0.260409
Spontaneous penile erection,0.260409
Hypovolaemic shock,0.260409
Endocarditis,0.260409
Fungaemia,0.260409
Medication overuse headache,0.260409
Blood bilirubin decreased,0.260409
Microcytic anaemia,0.260409
Male sexual dysfunction,0.260409
Skin wrinkling,0.260409
Iron deficiency,0.260409
Sarcoidosis,0.260409
Retinal exudates,0.260409
Unresponsive to stimuli,0.260409
Actinic keratosis,0.260409
Therapeutic response unexpected,0.260409
Electrocardiogram T wave abnormal,0.260409
Corneal abrasion,0.260409
Lymphocyte count increased,0.260409
Glycosylated haemoglobin increased,0.260409
Endometritis,0.23978
Haemothorax,0.23978
Partner stress,0.23978
Dandruff,0.23978
Hypoplastic anaemia,0.23978
Duodenal ulcer haemorrhage,0.23978
Nerve compression,0.23978
Foetal disorder,0.23978
Vaginal disorder,0.23978
Bacterial disease carrier,0.23978
Palmar erythema,0.23978
Chemical cystitis,0.23978
Gastrointestinal fistula,0.23978
Epidural haemorrhage,0.23978
Spinal haematoma,0.23978
Cerebral artery embolism,0.23978
Vertigo positional,0.23978
Oral mucosal blistering,0.23978
Central nervous system stimulation,0.23978
Gouty arthritis,0.23978
Blood iron increased,0.23978
Quadriparesis,0.23978
Leukoplakia oral,0.23978
Blood thromboplastin decreased,0.23978
Embolism arterial,0.23978
Measles,0.23978
Rash morbilliform,0.23978
Perirectal abscess,0.23978
Peptic ulcer haemorrhage,0.23978
Neutrophilia,0.23978
Episcleritis,0.23978
Skin oedema,0.23978
Blood bilirubin abnormal,0.23978
Drug withdrawal convulsions,0.23978
Sleep talking,0.23978
Substance abuse,0.23978
Livedo reticularis,0.23978
Neuromyopathy,0.23978
Pulmonary alveolar haemorrhage,0.23978
Abdominal symptom,0.23978
Muscle fatigue,0.23978
Formication,0.23978
Nodular regenerative hyperplasia,0.23978
Eye burns,0.23978
Rhinitis perennial,0.23978
Lipoedema,0.23978
Lip oedema,0.23978
Cardiac failure acute,0.23978
Erythromelalgia,0.23978
Vasoconstriction,0.23978
Anal haemorrhage,0.23978
Spinal anaesthesia,0.23978
Horner's syndrome,0.23978
Hyperuricosuria,0.23978
Hepatitis A,0.23978
Arterial insufficiency,0.23978
Sperm concentration decreased,0.23978
Depression suicidal,0.23978
Peripheral nerve palsy,0.23978
Plantar fasciitis,0.23978
Application site hypersensitivity,0.23978
Hepatic fibrosis,0.23978
Self injurious behaviour,0.23978
Candiduria,0.23978
Monocyte count increased,0.23978
Cerebral arteritis,0.23978
Bone marrow toxicity,0.23978
Blunted affect,0.23978
Cerumen impaction,0.23978
Early satiety,0.23978
Genital pain,0.23978
Application site discolouration,0.23978
Splenic infarction,0.23978
Limb reduction defect,0.23978
Renal cell carcinoma,0.23978
Exomphalos,0.23978
Pelvic discomfort,0.23978
Arterial occlusive disease,0.23978
Mutism,0.23978
Infection susceptibility increased,0.23978
Parotitis,0.23978
Duodenitis haemorrhagic,0.23978
Colitis microscopic,0.23978
Diabetic hyperosmolar coma,0.23978
Ovarian failure,0.23978
Graft loss,0.23978
Anovulatory cycle,0.23978
Anterior chamber flare,0.23978
Assisted fertilisation,0.23978
Application site induration,0.23978
Complex regional pain syndrome,0.23978
Cellulitis gangrenous,0.23978
Necrotising fasciitis,0.23978
Fluid imbalance,0.23978
Tooth hypoplasia,0.23978
